id,group,title,artist,year,location,public_domain,commons_file,about,note,image_source
38,History and power,The Murder of the Sons of Edward IV,Theodor Hildebrandt,1835,"Museum Kunstpalast, Düsseldorf",y,Theodor_Hildebrandt_-_The_Murder_of_the_Sons_of_Edward_IV_-_Google_Art_Project.jpg,"Following Shakespeare's Richard III, the two murderers hesitate over the sleeping princes in the Tower. The painting stops time one second before.",,Wikimedia Commons
39,History and power,Ivan the Terrible and His Son Ivan,Ilya Repin,1885,"Tretyakov Gallery, Moscow",y,"Iván el Terrible y su hijo, por Iliá Repin.jpg","The tsar clutches the son he has just struck in rage, blood running through his fingers, horror in his eyes. The painting has been attacked twice.",,Wikimedia Commons
40,History and power,Alexander the Great's Trust in Doctor Philip,Henryk Siemiradzki,1870,,y,Alexander the Great's trust in doctor Philip (Siemiradzki) detail02 by shakko.jpg,"Alexander, gravely ill, drinks the medicine from his physician while handing him a letter accusing that same physician of poisoning him.",,Wikimedia Commons
41,History and power,Alexander the Great Refuses Water in the Desert,Tom Lovell,,,n,,"Crossing the desert with an army dying of thirst, Alexander is offered a helmet of water and pours it into the sand, refusing to drink what his men cannot.",,
42,History and power,The Women of Amphissa,Lawrence Alma-Tadema,1887,"Clark Art Institute, Williamstown",y,Women of Amphissa.jpg,"After a night of worship, followers of Dionysus wake exhausted in the marketplace of an enemy town, and the town's women quietly protect them.",,Wikimedia Commons
43,History and power,Timoclea Kills the Captain of Alexander the Great,Elisabetta Sirani,1659,"Museo di Capodimonte, Naples",y,"Sirani, Elisabetta - Timoclea uccide il capitano di Alessandro Magno - 1659.jpg","Timoclea of Thebes pushes the soldier who assaulted her headfirst into a well. Sirani, one of the few women painters of her time, paints the victim as the one in control.",,Wikimedia Commons
44,History and power,The Raft of the Medusa,Théodore Géricault,1818–1819,"Louvre, Paris",y,"JEAN LOUIS THÉODORE GÉRICAULT - La Balsa de la Medusa (Museo del Louvre, 1818-19).jpg","Survivors of the 1816 wreck of the French frigate Méduse, abandoned on a raft for thirteen days, sight a ship on the horizon. A political scandal painted at the scale of history.",,Wikimedia Commons
45,History and power,The Burial of Atala,Anne-Louis Girodet,1808,"Louvre, Paris",y,"Atala au tombeau - Anne-Louis Girodet - Musée du Louvre Peintures INV 4958, louvre 1.jpg",From Chateaubriand's novel: a young Native American man and an old priest lower the body of the Christian girl Atala into a cave tomb.,,Wikimedia Commons
46,History and power,Las Meninas,Diego Velázquez,1656,"Museo del Prado, Madrid",y,"Las Meninas, by Diego Velázquez, from Prado in Google Earth.jpg","The young princess and her attendants, the painter himself at his canvas, and the king and queen visible only in a distant mirror. Few paintings have been argued over more.",,Wikimedia Commons
47,History and power,Portrait of Juan de Pareja,Diego Velázquez,1650,"Metropolitan Museum of Art, New York",y,"Retrato de Juan Pareja, by Diego Velázquez.jpg","Velázquez's portrait of his enslaved assistant, painted in Rome and applauded when shown. Pareja was later freed and became a painter in his own right.",,Wikimedia Commons
48,History and power,The Arnolfini Portrait,Jan van Eyck,1434,"National Gallery, London",y,Van Eyck - Arnolfini Portrait.jpg,"A couple in their Bruges room, every surface rendered exactly. In the convex mirror behind them two more figures appear, and above it van Eyck signed his name as a witness.",,Wikimedia Commons
49,History and power,"Man, Controller of the Universe",Diego Rivera,1934,"Palacio de Bellas Artes, Mexico City",n,,Rivera's recreation of the Rockefeller Center mural that was destroyed after he refused to paint out Lenin's face.,,
50,"Love, war and parting",The Black Brunswicker,John Everett Millais,1860,"Lady Lever Art Gallery, Port Sunlight",y,John Everett Millais The Black Brunswicker.jpg,"A woman tries to keep her lover from leaving to fight Napoleon, pressing the door shut while he gently opens it. He will almost certainly not come back.",,Wikimedia Commons
51,"Love, war and parting",To Arms!,Edmund Blair Leighton,1888,,y,Leighton-Call to Arms.jpg,"A wedding interrupted by the call to war, the groom already turning toward it.",,Wikimedia Commons
52,"Love, war and parting",God Speed,Edmund Blair Leighton,1900,,y,Leighton-God Speed!.jpg,A woman ties her token to the arm of a knight as he rides out to war.,,Wikimedia Commons
53,"Love, war and parting",The Shadow,Edmund Blair Leighton,1909,,y,Edmund Blair Leighton - The Shadow.jpg,"Before her lover leaves, a woman traces his shadow on the wall, the old story of how drawing began.",,Wikimedia Commons
54,"Love, war and parting",The Gladiator's Wife,Edmund Blair Leighton,1884,,y,Edmund Blair Leighton - The Gladiator's Wife.JPG,"A woman in the crowd of the arena, watching the fight she cannot bear to watch.",,Wikimedia Commons
55,"Love, war and parting",A Dream of the Past: Sir Isumbras at the Ford,John Everett Millais,1857,"Lady Lever Art Gallery, Port Sunlight",y,John Everett Millais - Sir Isumbras at the Ford (1857).jpg,"An old knight carries two peasant children across a river at dusk. Mocked by critics at the time, and now among Millais's most loved.",,Wikimedia Commons
56,"Love, war and parting",The Crown of Love,John Everett Millais,1875,,y,John-Everett-Millais-The-Crown-of-Love-1875.jpg,"From a Norman legend: a young man must carry his beloved to the top of a mountain to win her, and dies of the effort at the summit.",,Wikimedia Commons
57,"Love, war and parting",Between Wealth and Love,William-Adolphe Bouguereau,1869,Private collection,y,"Entre la richesse et l'amour, by William Adolphe Bouguereau.jpg","A young woman between two suitors: an older man offering jewels, and a young musician offering himself. She looks at neither.",,Wikimedia Commons
58,"Love, war and parting",The Awakening Conscience,William Holman Hunt,1853,"Tate Britain, London",y,William Holman Hunt - The Awakening Conscience - Google Art Project.jpg,A kept woman rises suddenly from her lover's lap as a song reminds her of the life she left. The whole room is a set of clues.,,Wikimedia Commons
59,"Love, war and parting",The Long Goodbye,Ron Francis,2017,,n,,"An intimate farewell between two figures, which Francis has said came from a dream of being sent away by war.",,
60,"Love, war and parting",Hope,Ron Francis,,,n,,,,
61,Death and the reckoning,Death and the Miser,Frans Francken the Younger,,,y,Frans Francken II (1581-1642) - An Allegory of Death and the Rich Man - 959419 - National Trust.jpg,Death arrives for a man counting his money. He is still counting.,,Wikimedia Commons
62,Death and the reckoning,Death and the Maiden,Marianne Stokes,1908,,y,La Jeune Fille et la Mort-Marianne Stokes-IMG 8224.JPG,"The old theme of death coming for a young woman, painted by one of the finest women artists of her generation.",,Wikimedia Commons
63,Death and the reckoning,Death and the Girl,Frans van Kuyck,1890,,y,Death and the Girl.jpg,A Belgian painter's version of the meeting every age has painted in its own way.,,Wikimedia Commons
64,Death and the reckoning,Ophelia,John Everett Millais,1851–1852,"Tate Britain, London",y,John Everett Millais - Ophelia - Google Art Project.jpg,"Ophelia floats in the stream, singing as she drowns, surrounded by flowers painted leaf by leaf on the riverbank. The model, Elizabeth Siddal, posed in a bathtub.",,Wikimedia Commons
65,Death and the reckoning,The Scream,Edvard Munch,1893,"National Museum, Oslo",y,The Scream.jpg,"A figure on a bridge under a blood-red sky, clutching its face. Munch said he felt an infinite scream passing through nature.",,Wikimedia Commons
66,Death and the reckoning,The Broken Column,Frida Kahlo,1944,"Museo Dolores Olmedo, Mexico City",n,,"Kahlo's self-portrait after spinal surgery: her body split open to show a shattered column in place of a spine, nails driven into her skin, her face composed.",,
67,Death and the reckoning,The Tree of Life,Leonora Carrington,1960,,n,,A late work by the Surrealist who spent most of her life in Mexico.,,
68,"Fools, tricksters and ordinary lives",Laughing Fool,Jacob Cornelisz van Oostsanen,c. 1500,"Davis Museum, Wellesley College",y,Laughing Fool.jpg,"A jester grins and peers at us through his spread fingers, the old gesture for folly.",,Wikimedia Commons
69,"Fools, tricksters and ordinary lives",The Conjurer,Hieronymus Bosch,c. 1502,"Musée municipal, Saint-Germain-en-Laye",y,Bosch follower Conjurer (recto).jpg,"A street magician performs cups and balls while an accomplice lifts a spectator's purse. A painting about misdirection, where the audience is the real subject.",,Wikimedia Commons
70,"Fools, tricksters and ordinary lives",The Irritating Gentleman,Berthold Woltze,1874,"Deutsches Historisches Museum, Berlin",y,Berthold Woltze - Der lästige Kavalier.jpg,"A young woman in mourning on a train, a man leaning over the seat to talk at her. She looks straight out at us, as if asking for help.",,Wikimedia Commons
71,"Fools, tricksters and ordinary lives",My Wife's Lovers,Carl Kahler,1891,,y,Carl Kahler - My Wife's Lovers.jpg,"Forty-two cats belonging to a San Francisco millionaire, painted over three years. Among the largest paintings of cats ever made.",,Wikimedia Commons
72,"Fools, tricksters and ordinary lives",In a Roman Osteria,Carl Bloch,1866,"Statens Museum for Kunst, Copenhagen",y,Fra et romersk osteria.jpg,Two women at a tavern table glance at the viewer while the young man with them sulks. A small comedy of who is interested in whom.,,Wikimedia Commons
73,"Fools, tricksters and ordinary lives",A Dear Visitor,Max Kurzweil,1894,,y,,A sick man in bed raises his hand to greet a visitor he did not expect.,,
74,"Fools, tricksters and ordinary lives",Who?,Nikolai Kasatkin,1897,,y,Nikolai Kasatkin 7.jpg,"A domestic confrontation from the Russian realist, in which the one-word title is the question being asked.",,Wikimedia Commons
75,"Fools, tricksters and ordinary lives",At the School Door,Nikolay Bogdanov-Belsky,1897,"Tretyakov Gallery, Moscow",y,1897 Bogdanov-Belsky At School Doors.jpg,"A barefoot peasant boy in rags stands at the door of a village classroom, looking in at something he wants and cannot have.",,Wikimedia Commons
76,"Fools, tricksters and ordinary lives",The Acrobats,Gustave Doré,1874,,y,Gustave Doré Les Saltimbanques 3.jpg,"A family of traveling performers, the mother holding their injured child while the father stands by in costume. The show went on.",,Wikimedia Commons
77,"Fools, tricksters and ordinary lives",The Laundress,Louis Chalon,1916,Private collection,y,,"A working woman at her task, from a French painter better known for Belle Époque illustration.",,
78,"Fools, tricksters and ordinary lives",At the Dressing Table. Self-Portrait,Zinaida Serebriakova,1909,"Tretyakov Gallery, Moscow",y,RU041 09.jpg,"The painter at twenty-four, combing her hair in the mirror on a winter morning. Painted almost in passing, and it made her name.",,Wikimedia Commons
79,"Fools, tricksters and ordinary lives",Girl with a Pearl Earring,Johannes Vermeer,c. 1665,"Mauritshuis, The Hague",y,1665 Girl with a Pearl Earring.jpg,"A girl turns toward us over her shoulder, lips parted. Not a portrait of anyone known, which is part of why everyone feels they know her.",,Wikimedia Commons
80,"Fools, tricksters and ordinary lives",Allegorical Painting of Two Ladies,English School,c. 1650,Compton Verney,y,Anon (English School) - double portrait - circa 1650.jpg,"A Black woman and a white woman side by side, both wearing fashionable face patches, above a moralizing inscription. A rare and puzzling double portrait of its time.",,Wikimedia Commons
81,"Fools, tricksters and ordinary lives",Never Leave a Red Sock on the Clothesline,Shaun Tan,2012,,n,,A giant crimson rabbit looms over two children hiding in a suburban backyard. From Tan's picture book Rules of Summer.,,
82,The American century,The Coward,Norman Rockwell,1919,,y,,A young woman plants a kiss on a returning soldier who drops his hat and cane in alarm. A Life magazine cover from the end of the First World War.,,
83,The American century,Breaking Home Ties,Norman Rockwell,1954,,n,,"A rancher father and his son wait for the train that will take the boy to college, the son eager, the father already missing him, the dog's head in the boy's lap.",,
84,The American century,Marriage License,Norman Rockwell,1955,"Norman Rockwell Museum, Stockbridge",n,,A young couple signs for their marriage license on tiptoe at the counter while the old clerk sits slumped beside them.,,
85,The American century,After the Prom,Norman Rockwell,1957,,n,,"A teenage couple at a soda fountain, the girl showing her corsage to the soda jerk leaning in to smell it.",,
86,The American century,The Runaway,Norman Rockwell,1958,,n,,A state trooper at a diner counter talks with a small boy whose bundle of belongings sits on the stool beside him.,,
87,The American century,J. Marion Sims: Gynecologic Surgeon,Robert Thom,1952,,n,,"From Thom's series A History of Medicine in Pictures. Sims developed his techniques by operating on enslaved Black women without anesthesia, and the painting has become part of the reckoning with that history.",,
88,The American century,Christina's World,Andrew Wyeth,1948,"Museum of Modern Art, New York",n,,"Christina Olson, who could not walk, pulls herself across a field toward the farmhouse on the hill. Wyeth's neighbor, painted from behind.",,
89,The American century,The Homecoming,Andrew Wyeth,1945,,n,,,,
90,The American century,Sunday Gardening,John Falter,1961,,n,,,,
